name,date,notes,year
Royals Magic Touch, Feb 5, Delta R,2016
Hot Time Tonite, Feb 5, Delta R,2016
Eventhescore Rose, Feb 5, Sam Houston S,2016
Wild Target, Feb 6, Aqueduct T,2016
Born Mighty, Feb 6, Hialeah R,2016
Bella Stella, Feb 6, Louisiana R,2016
Allthatgltrsisgold, Feb 6, Miami R,2016
Grachus the Hunter, Feb 6, Santa Anita R,2016
Alysaro, Feb 7, Aqueduct R,2016
Estandarte, Feb 7, Gulfstream R,2016
Outtanker, Feb 8, Charles Town S,2016
Mach It Right, Feb 8, Pompano R,2016
Mesa Brute, Feb 9, Turf R,2016
Obvi, Feb 10, Hialeah S,2016
Classic Flair, Feb 11, Fair Grounds R,2016
Scuppernong, Feb 11, Oaklawn R,2016
Jess Makin Waves, Feb 12, Hialeah T,2016
Pequena I Love You, Feb 12, Hialeah T,2016
Rock Me Gently, Feb 12, Laurel R,2016
Death Valley Girl, Feb 12, Santa Anita R,2016
Fire At Will, Feb 13, Los Alamitos R,2016
Pax Tecum, Feb 13, Rillito R,2016
Walter Park, Feb 14, Emerald T,2016
Enriquillo, Feb 14, Tampa Bay T,2016
Stef's Girl, Feb 14, Turfway R,2016
Packet Cat, Feb 15, Charles Town S,2016
Elrond, Feb 10-Feb 15, Golden Gate T,2016
Mum's Truckee, Feb 15, Golden Gate R,2016
Scrumpdilicious, Feb 15, Gulfstream R,2016
Polaris, Feb 15, Mahoning T,2016
Aaron Again, Feb 15, Mahoning R,2016
Flashing Light, Feb 17, Gulfstream R,2016
Gate Crasher, Feb 17, Tampa Bay T,2016
Scatoosh, Feb 18, Belmont T,2016
Eurit, Feb 18, Remington T,2016
Art of Darkness, Feb 19, Buffalo R,2016
Grand Mast, Feb 19, Charles Town R,2016
My Pal Lily, Feb 19, Delta R,2016
Time for Action, Feb 19, Los Alamitos R,2016
Longhairedhippie, Feb 20, Charles Town S,2016
Big Hearted Deb, Feb 20, Charles Town T,2016
Chapter and Verse, Feb 20, Fair Grounds R,2016
Kandoo, Feb 20, Gulfstream R,2016
Grey Balls of Fire, Feb 20, Turfway R,2016
Kibble, Feb 21, Aqueduct R,2016
yet-to-be-named, Feb 21, Gulfstream T,2016
Lilah Bird, Feb 21, Gulfstream R,2016
Italian Grinder, Feb 23, Emerald S,2016
Panchos Jess Special, Feb 23, Louisiana R,2016
Klassic Pat, Feb 24, Belmont S,2016
Beatie Eyed Peatie, Feb 24, Delta R,2016
Dark and Dusty, Feb 24, Tampa Bay R,2016
Caramel Creamsicle, Feb 25, Charles Town R (euthanized Feb 26),2016
Charger, Feb 25, Dover R,2016
Speed Check, Feb 25, Santa Anita R,2016
Sweet Rocket Man, Feb 26, Gulfstream T,2016
Whereisthesurprise, Feb 26, Penn R,2016
Trust Your Caddy, Feb 26, Santa Anita R,2016
Exceptionalism, Feb 27, Parx R,2016
Bank Dunit, Feb 27, Sunland R,2016
Salah Loves Teagan, Feb 28, Golden Gate R,2016
Sundar Drums, Feb 28, Santa Anita R,2016
Twelve Noon, Feb 29, Mahoning T,2016
Black Clover, Mar, Santa Anita T (euthanized Mar 20),2016
Have Faith Sister, Mar 1, Parx R,2016
Lookwhosdancinnow, Mar 1, Sunland R,2016
Purses Galore, Mar 3, Charles Town R,2016
Generous Don, Mar 4, Golden Gate T,2016
Carved in Stone, Mar 4, Laurel T,2016
S'more Funny Fever, Mar 4, Santa Anita R,2016
Imaflashyfellow, Mar 5, Charles Town T,2016
Save Rock and Roll, Mar 5, Gulfstream T,2016
Hy Prince Happy, Mar 5, Gulfstream R,2016
Glamorgan, Mar 5, Gulfstream R,2016
Macachee Run, Mar 5, Mahoning T,2016
Dangerous Times, Mar 5, Northfield R,2016
Goldtique, Mar 5, Parx R,2016
Digger's Jigger, Mar 5, Parx R,2016
Page's Promise, Mar 6, Charles Town S,2016
Know Plans, Mar 6, Golden Gate R,2016
Stardust Abbe, Mar 6, Tampa Bay T,2016
Never in Trouble, Mar 7, Gulfstream T,2016
Tiz Stormy, Mar 7, Laurel T,2016
Regal Soldier, Mar 7, Parx R,2016
Iyamwhatiyam, Mar 8, Northfield R,2016
Roja Caliente, Mar 8, Sunland R,2016
And in the End, Mar 9, Golden Gate T,2016
Pennetta, Mar 9, Gulfstream R,2016
Georgia's Genie, Mar 11, Delta R,2016
Pure Habit, Mar 11, Charles Town R,2016
Mommy Did It, Mar 11, Charles Town R (euthanized Apr 8),2016
Imbaracuaro, Mar 11, Gulfstream W T,2016
Ancil, Mar 11, Tampa Bay T,2016
Report For Duty N, Mar 11, Yonkers R,2016
A Running Ghost, Mar 12, Delta R,2016
City of Weston, Mar 12, Gulfstream T,2016
Consistency, Mar 12, Laurel T,2016
Knightly Storm, Mar 13, Golden Gate T,2016
Personal Property, Mar 13, Laurel R,2016
Fast Flyin Fireball, Mar 13, Remington R,2016
Concert Man, Mar 13, Santa Anita R,2016
Starship Jodi, Mar 14, Gulfstream T,2016
Bruno and Me, Mar 14, Laurel T,2016
Power of Ten, Mar 16, Golden Gate T,2016
Arco de Triunfo, Mar 16, Gulfstream W T,2016
unidentified, Mar 16, Hoosier R,2016
Gunslinger Rules, Mar 18, Golden Gate T,2016
Withhonorweserve, Mar 18, Hawthorne T,2016
Ohs of Oaks, Mar 18, Sunland R,2016
Kyriaki, Mar 19, Oaklawn R,2016
Demonica, Mar 19, Santa Anita R,2016
Charlies Soldier, Mar 19, Sunland R,2016
Basanite, Mar 20, Belmont S,2016
Feasibility, Mar 20, Turf R,2016
Go Car Cosino, Mar 21, Louisiana R,2016
Preachinahit, Mar 21, Turf R,2016
King of Cool, Mar 22, Sunland R,2016
Hidden Demon, Mar 22, Turf R,2016
Cockeyed Cowboy, Mar 24, Charles Town R,2016
Gentle Buzzing, Mar 24, Penn R,2016
Froth, Mar 25, Sunland R,2016
Mrs Loud Mouth, Mar 26, Charles Town R,2016
Chicsdigtheshark, Mar 26, Charles Town R (euthanized Mar 28),2016
Catherine's Cause, Mar 26, Golden Gate T,2016
De Millie, Mar 26, Laurel T (euthanized May 26),2016
Automagically, Mar 26, Laurel R,2016
Carving Hearts, Mar 26, Retama T,2016
Bush Eagle, Mar 26, Sam Houston R (euthanized Mar 29),2016
Pfinding Jessie, Mar 26, Sunland R,2016
Heatupthekaufy, Mar 26, Tampa Bay T,2016
Invasion Point, Mar 26, Tampa Bay R (euthanized Apr 11),2016
Chance for Glory, Mar 28, Turf R,2016
Rey Del Mar, Mar 29, Sunland R,2016
Jessyoudo, Mar 31, Remington R,2016
Fivetillmidnite, Mar 31, Tampa Bay T,2016
Fool To Cry, Mar 31, Yonkers R,2016
Apollitical Chic, Apr 1, Los Alamitos R,2016
Louisiana Tres, Apr 1, Remington T,2016
My Little Surfer, Apr 1, Remington R,2016
Chamiso James, Apr 1, Sunland R,2016
Better Go Trixie, Apr 1, Sunland R,2016
Aribelle, Apr 1, Tampa Bay R,2016
Valiant Hope, Apr 1, Turfway R,2016
Don't Knock Woody, Apr 2, Delaware T,2016
Shellbell, Apr 3, Los Alamitos R,2016
Don Tillo, Apr 4, Mahoning R,2016
KD's King Kong, Apr 4, Mahoning R,2016
Sr Mirandas Dream, Apr 4, Sam Houston R,2016
Found Money, Apr 4, Santa Anita T,2016
Wild Iris, Apr 4, Turf S,2016
Ozzy, Apr 6, Charles Town T (euthanized Apr 7),2016
Five Point Star, Apr 6, Delaware T,2016
Summer Morn, Apr 6, Gulfstream T,2016
Impossible Timing, Apr 7, Golden Gate R,2016
It's Elementary, Apr 8, Belmont T,2016
Ace the Limit, Apr 8, Charles Town R,2016
City Exit, Apr 8, Charles Town R,2016
Lil Noon, Apr 8, Evangeline R,2016
Steamer Bay, Apr 8, Golden Gate R,2016
Stevie Smoothboy, Apr 8, Hawthorne R,2016
Bellamy Maschio, Apr 8, Lone Star R (euthanized Apr 9),2016
Diamond Rose, Apr 8, Tampa Bay R,2016
Alexa's Miracle, Apr 9, Belmont S,2016
Majestic Number, Apr 9, Delaware S,2016
French Celebrity, Apr 9, Evangeline R,2016
Tiz the Season, Apr 9, Los Alamitos R,2016
Dancing Terror, Apr 9, Meadows R,2016
Furrocity, Apr 9, Remington R,2016
Bully Pulpit, Apr 9, Santa Anita R,2016
Cndiana Jones, Apr 9, Saratoga Harness T,2016
Silca Sheets, Apr 9, Sunland R,2016
What the Frost, Apr 10, Finger Lakes T,2016
Splitter, Apr 10, Laurel R,2016
Ja Cool Carolina, Apr 10, Sam Houston S,2016
Loomin' Lori Lou, Apr 12, Finger Lakes T,2016
Nena, Apr 12, Gulfstream W T,2016
Cuantos, Apr 13, Aqueduct R,2016
Polly My Love, Apr 13, Gulfstream W T,2016
Classic Kate, Apr 13, Mountaineer S,2016
High Native Fly, Apr 13, Tampa Bay R,2016
Saturday Special, Apr 14, Gulfstream R,2016
Blessedwithprayer, Apr 14, Gulfstream R,2016
Wanna Danze Lady, Apr 15, Hawthorne T,2016
Zoom With Fame, Apr 15, Sunland R,2016
It's Exclusive, Apr 15, Tampa Bay T,2016
Old Squeeze, Apr 15, Turf T,2016
Book the Bet, Apr 16, Delaware T,2016
Hewearsthefoxhat, Apr 16, Golden Gate R,2016
unidentified, Apr 16, Hoosier R,2016
Cash Back, Apr 16, Oaklawn R,2016
Attaboyatteberry, Apr 16, Sunland R,2016
Brassy Pete, Apr 16, Turf R,2016
Heather's Rose, Apr 17, Laurel R,2016
Coronado Street, Apr 18, Gulfstream W T,2016
Skip Tony, Apr 19, Golden Gate T,2016
Fancy Hat, Apr 20, Keeneland R,2016
Nofinancingneeded, Apr 20, Mountaineer T,2016
Sailor's Serenade, Apr 21, Golden Gate T,2016
Copper Forest, Apr 22, Finger Lakes T,2016
Warren's Passion, Apr 22, Los Alamitos R,2016
Pristine Sistine, Apr 22, Keeneland R,2016
Back in Dixie, Apr 22, Keeneland R,2016
Malbros, Apr 23, Charles Town R,2016
Favorite Passage, Apr 23, Delta R,2016
Home Time, Apr 23, Lone Star R (died May 1),2016
Jesse Jr First Down, Apr 23, Remington R,2016
Eyesa Pretty Wagon, Apr 23, Remington R,2016
Big Paul, Apr 23, Tampa Bay T,2016
Ziegler Hanover, Apr 25, Gaitway Farm (NJ) T,2016
Gran Plata, Apr 25, Gulfstream T,2016
Salty's Hero, Apr 25, Parx R,2016
Drive, Apr 27, Penn R,2016
Eyesa Famous Man, Apr 27, Remington T,2016
Defyance, Apr 27, Remington T,2016
Sawyers Mickey, Apr 27, Thistledown R,2016
Macho Sox, Apr 28, Los Alamitos R,2016
Fiddler Blue, Apr 28, Los Alamitos R,2016
Senora de Fatima, Apr 29, Gulfstream T,2016
Lokness, Apr 29, Remington R,2016
Anthepartyneverends, Apr 29, Sam Houston R,2016
Ideal Brandi, Apr 29, Saratoga Harness R,2016
Congrats to Ken, Apr 29, Tampa Bay R,2016
Tagged, Apr 30, Prairie R,2016
Jump for Pie, Apr 30, Sam Houston R,2016
Indy's Rocket, Apr 30, Sunland R,2016
Greatest Lisa, Apr 30, Tampa Bay R,2016
All Snuffed Up, Apr 30, Thistledown R,2016
Crimson Valor, Jan-Apr, Oaklawn T,2016
Cotton Jenny, May 1, Gulfstream R,2016
Unforgettable Glow, May 1, Sunland R,2016
Chatt Hills, May 2, Gulfstream W T,2016
Margin, May 2, Mountaineer R (euthanized May 16),2016
Savvey, May 2, Sam Houston R,2016
Polar Sunrise, May 3, Charles Town S,2016
Luck of Irish, May 3, Mountaineer R,2016
Lovelibuzz, May 3, Parx R,2016
Not an Illusion, May 4, Churchill R,2016
Prior Restraint, May 4, Evangeline R,2016
Deadly Swingin Jess, May 5, Delta R,2016
Spoils of War, May 6, Belterra T,2016
Air Squadron, May 6, Laurel R,2016
Joe Boo Kelly, May 6, Penn R,2016
Eyem Fast N Furyous, May 6, Remington R,2016
By Mistake, May 7, Fort Pierre R,2016
Bhr Flash and Fly, May 7, Fort Pierre R,2016
Miss Dejavu, May 7, Gulfstream T,2016
Salsalito, May 7, Laurel R,2016
Nasa, May 7, Parx R,2016
Twentycarattenpin, May 8, Belterra R,2016
Glint, May 8, Belterra R,2016
Mr. Mostly, May 8, Belterra R,2016
City Bench, May 8, Emerald R,2016
Dance Past the Line, May 8, Remington R,2016
Ilogico, May 9, Gulfstream W T,2016
Tell Tale Friend, May 9, Parx R,2016
Early Glory, May 10, Mountaineer R,2016
Striking Hight, May 11, Arlington T,2016
Turn It On Friskie, May 11, Scioto R,2016
Hypnotist, May 12, Yonkers R,2016
Ventures Galore, May 13, Prairie R,2016
Inspired Wisdom, May 13, Santa Anita R,2016
Big Time Rocks, May 14, Buffalo R,2016
Tarpy's Goal, May 14, Churchill R,2016
Whatsthefoxsay, May 14, Fairmount R,2016
Boss Hawg, May 14, Parx R,2016
Tug River Dylan, May 15, Saratoga Harness R,2016
unidentified, May 16, Indiana T,2016
District Queen, May 17, Will Rogers R,2016
Karenina Gal, May 18, Belmont R,2016
Fashion Designer, May 18, Delaware S,2016
Noblejesselie Inview, May 18, Delta R,2016
Vasilisa the Wise, May 19, Arlington T,2016
Nite Thunder, May 19, Charles Town R,2016
Air Cargo, May 19, Emerald T,2016
Rock Show, May 20, Belmont R,2016
Naughty Scotty, May 20, Belterra R,2016
Lone Cat, May 20, Delaware T,2016
Classicsoutherngal, May 20, Evangeline R,2016
Jack's Comprise, May 20, Gulfstream T,2016
View Tree, May 21, Charles Town R,2016
Fudge Bar, May 21, Lone Star T (euthanized May 28),2016
Brother Sy, May 21, Malvern R,2016
Homeboykris, May 21, Pimlico R,2016
Pramedya, May 21, Pimlico R,2016
San Onofre, May 21, Santa Anita R,2016
Super Endeavor, May 22, Arapahoe T,2016
A.P. Wildcat, May 22, Arapahoe R,2016
Planet, May 22, Churchill R,2016
Talk Back Jack, May 22, Gulfstream T,2016
Sue's Nice Shadow, May 22, Mountaineer T,2016
Stellata, May 22, Santa Anita R,2016
Honest Abe, May 23, Delaware S,2016
He's a Delight, May 23, Mountaineer R,2016
Soho Highroller A, May 23, Yonkers R,2016
Fors Fortis, May 24, Presque Isle R,2016
Okeemeister, May 25, Gulfstream R,2016
Quaralia, May 26, Belmont T,2016
I Got Good Case, May 26, Charles Town T (euthanized May 27),2016
Showered, May 26, Churchill R,2016
Burning Point, May 26, Penn S,2016
Arch Adversary, May 26, Prairie R,2016
Quittin Time, May 27, Arlington S,2016
Yodelmesomemagic, May 27, Finger Lakes S,2016
Cindy's Frill, May 27, Will Rogers T,2016
Malzahn, May 28, Charles Town S,2016
Out With the Blues, May 28, Pimlico R,2016
Sweet Yankee, May 30, Louisiana R,2016
Hadeed Fi Hadeed, May 30, Saratoga T,2016
Feels Like Magic N, May 30, Yonkers R,2016
Katie T, May 31, Arapahoe T,2016
Noble's Whim, Jun 1, Belmont T,2016
Precise Accusation, Jun 1, Buffalo R,2016
Georgia Glitter, Jun 1, Mountaineer R,2016
Such a Storm, Jun 2, Charles Town T,2016
Pefiolo, Jun 2, Penn R (euthanized Jun 27),2016
Pearl of Silk, Jun 4, Arlington R,2016
Go Go Jo, Jun 4, Belmont S,2016
Riding the Rails, Jun 4, Belmont T,2016
Mordi's Miracle, Jun 4, Belmont R,2016
Waverly Force, Jun 4, Charles Town S,2016
Fashion Setter, Jun 4, Churchill R,2016
Expert City, Jun 4, Delaware T,2016
Mr Sonic Blast, Jun 4, Lone Star T,2016
Cowboy Humor, Jun 5, Churchill R,2016
Smile a Little, Jun 5, Tioga R (euthanized/died Jun 10),2016
Proulette, Jun 6, Delaware R (euthanized Jun 7),2016
Prospecting Road, Jun 6, Delaware R,2016
Indanameofdafather, Jun 7, Fairmount R,2016
Just Dance With Me, Jun 7, Hoosier T,2016
La Moskette, Jun 7, Parx R (euthanized late Jul),2016
Rose Bern, Jun 8, Belmont T,2016
Bravelikebetty, Jun 8, Charles Town R,2016
Chick Call Kay, Jun 8, Delta R,2016
unidentified, Jun 8, Hoosier R,2016
Sneaky Choice, Jun 8, Louisiana R,2016
Bruno Cino, Jun 8, Mountaineer R,2016
Parole Board, Jun 9, Gulfstream R,2016
Miss Gifted, Jun 9, Santa Anita R,2016
Gigi's Kitten, Jun 10, Churchill R,2016
Tried to Tell U So, Jun 10, Fair Meadows R,2016
Bustin, Jun 10, Finger Lakes T,2016
Hiddai, Jun 10, Indiana R,2016
Victory Arch, Jun 10, Prairie R,2016
Xtreme Marine, Jun 11, Buffalo R,2016
Tempting Eyes, Jun 11, Chippewa R,2016
Silver Nile, Jun 11, Gulfstream R (euthanized Jun 12),2016
Chick Meter, Jun 11, Oregon Livestock R,2016
Majestic Joe, Jun 12, Belmont T,2016
Morning Lily, Jun 12, Lone Star R,2016
Jayne Wayne, Jun 12, Prairie R,2016
Sixth Man, Jun 12, Saratoga Harness R (euthanized three weeks later),2016
Skimasco, Jun 12, Sunray R,2016
Anchorwoman, Jun 13, Finger Lakes R,2016
unidentified (could be The A Plan), Jun 14, Indiana R,2016
El Borracho, Jun 14, Monmouth S,2016
Playmaker B, Jun 15, Arapahoe T,2016
Benny's Diamond, Jun 15, Delaware R,2016
unidentified, Jun 15, Indiana S,2016
Hoppy Hour, Jun 15, Penn S,2016
Stormy Equinox, Jun 15, Prairie R,2016
J. Russell, Jun 16, Charles Town S,2016
Flyintotheparty, Jun 16, Delta R,2016
Brighterthanthesun, Jun 16, Lone Star R,2016
Jolity, Jun 16, Pimlico R,2016
Bonita Luna, Jun 17, Belmont R,2016
Slew's Chet, Jun 17, Emerald R,2016
Senior Rapidor, Jun 17, Evangeline R,2016
Iron Storm, Jun 17, Golden Gate T,2016
Ione It All, Jun 17, Los Alamitos R,2016
Forbidden Story, Jun 17, Penn R,2016
Escape to Vegas, Jun 18, Belmont T,2016
Stay Stay Stay, Jun 18, Delaware T,2016
Julias Girl, Jun 18, Evangeline R,2016
unidentified, Jun 18, Indiana T,2016
Eee I Eee I Oh, Jun 18, Prairie R,2016
Captaincrawfish, Jun 18, Retama S,2016
Open Order, Jun 19, Churchill R,2016
Timely Pursuit, Jun 19, Mountaineer R,2016
Gorgeous Sunrise, Jun 19, Mountaineer R,2016
Whata Wild Night, Jun 19, Sunray R,2016
Ambitious At Noon, Jun 19, Thistledown T,2016
Todo Onota, Jun 20, Belmont T,2016
Quake in My Wake, Jun 21, Parx R,2016
Jigsaw, Jun 23, Belterra R,2016
Jesse Pinkman, Jun 24, Arapahoe R,2016
Jessa Shotuv Taquila, Jun 24, Arapahoe R,2016
The Conception, Jun 24, Churchill R,2016
Lingeringobsession, Jun 24, Fair Meadows R,2016
Banksy, Jun 24, Indiana R,2016
Mike the Hab, Jun 24, Penn R,2016
Starlit Malibu, Jun 25, Gulfstream T,2016
unidentified, Jun 25, Indiana T,2016
unidentified, Jun 25, Indiana T,2016
Lorilee, Jun 25, Penn R,2016
Turbulent Sea, Jun 26, Albuquerque R,2016
Le Dimanche, Jun 26, Arlington R,2016
Miss Giacomo, Jun 26, Delaware T,2016
Criollas Boy, Jun 26, Gulfstream R,2016
Youdaboy, Jun 26, Lone Star R,2016
A. Rod Again, Jun 28, Parx R,2016
Truly Amazing, Jun 28, Presque Isle R,2016
Holy Soldier, Jun 29, Delaware R,2016
unidentified, Jun 29, Indiana T,2016
Purple Egg, Jun 29, Penn R,2016
Mr. Bo Jingles, Jun 30, Louisiana R,2016
Toby the Tiger, Jul 1, Churchill R,2016
Corporal Agarn, Jul 1, Emerald R,2016
Spirit of the West, Jul 1, Pleasanton R,2016
Indiscreetness, Jul 1, Thistledown R,2016
Aplaingirl, Jul 2, Delaware R (euthanized Jul 11),2016
Jess a Lil Lacey, Jul 2, Grants Pass R,2016
How Time Flies, Jul 2, Gulfstream T,2016
Sherezadah, Jul 2, Gulfstream R,2016
Maxwell's Hammer, Jul 2, Parx R,2016
Doc Galore, Jul 2, Prairie R,2016
Worldwide, Jul 4, Santa Anita R,2016
Sweet Hot Toddy, Jul 5, Finger Lakes R,2016
Amanda in Front, Jul 5, Mountaineer R (euthanized Jul 14),2016
My Mans Out West, Jul 6, Charles Town T,2016
Fast Slimey, Jul 6, Evangeline R,2016
Global Moon, Jul 7, Delaware S,2016
Loaded and Wacky, Jul 8, Albuquerque R,2016
Roll Smash Roll, Jul 8, Albuquerque R,2016
Flew Flicker, Jul 8, Los Alamitos R,2016
Looking At Hershey, Jul 8, Prairie R,2016
Papalote Sweet, Jul 8, Retama R (euthanized Jul 9),2016
Just a Jewel, Jul 9, Emerald S,2016
Mary's Legacy, Jul 9, Finger Lakes R,2016
Silver Lime, Jul 9, Suffolk R,2016
Candy Man Can, Jul 9, Suffolk R,2016
The Minister, Jul 10, Arlington R (euthanized Jul 12),2016
Templer Glory, Jul 10, Gulfstream R,2016
Notaria, Jul 12, Parx R,2016
True Heat, Jul 13, Albuquerque R,2016
Dandy One, Jul 13, Albuquerque R,2016
Greatest Times, Jul 13, Fair Meadows R,2016
Eye Opening Dream, Jul 13, Will Rogers S,2016
Futurazo, Jul 14, Finger Lakes R,2016
unidentified, Jul 14, Indiana T,2016
Brockabyebaby, Jul 14, Prairie R,2016
The Grey Bullet, Jul 14, Vernon S,2016
Suancesong, Jul 15, Arapahoe R,2016
Presidential Air, Jul 15, Del Mar R,2016
Jagger Swagger, Jul 15, Del Mar R,2016
All in the Art, Jul 15, Louisiana R,2016
Dollar Signs, Jul 16, Evangeline R,2016
Hisnameisdash, Jul 16, Finger Lakes T,2016
El Charchas, Jul 16, Monmouth R,2016
Anthony's Flyer, Jul 16, Parx R,2016
Squire Creek, Jul 16, Saratoga T,2016
Notta, Jul 17, Arlington T,2016
Dynamite Charge, Jul 17, Del Mar T,2016
The Chilli Man, Jul 17, Emerald R,2016
Tres Seis Zoe, Jul 17, Gillespie R,2016
Root of All Evil, Jul 17, Lone Star R,2016
Hrh Burning Corona, Jul 17, Wyoming R,2016
Bettarun Realfast, Jul 18, Monmouth S,2016
Was It Worth It, Jul 19, Finger Lakes R (euthanized Aug 8),2016
Hey Bud, Jul 19, Indiana R,2016
Silver Pigeon, Jul 19, Mountaineer S,2016
Perfectly True, Jul 20, Monmouth T,2016
Yari, Jul 20, Mountaineer R,2016
Aly's Tap, Jul 21, Charles Town R (euthanized Aug 18),2016
Zofia's Prayer, Jul 21, Delaware R (euthanized Sep 21),2016
Pacific Swell, Jul 21, Del Mar R,2016
Jaxkingsandqueens, Jul 21, Emerald T,2016
Mr. Perseverance, Jul 21, Penn R,2016
Kryptanite, Jul 22, Arapahoe R,2016
Generic, Jul 22, Charles Town S,2016
Im a Corky One, Jul 22, Charles Town R (euthanized Jul 28),2016
Bird Prince, Jul 22, Parx S,2016
Freakin Pistol, Jul 22, Prairie R,2016
Stradivari, Jul 22, Saratoga T (euthanized Dec),2016
Blizzard Warning, Jul 23, Arapahoe R,2016
Leslie's Dreamgirl, Jul 23, Charles Town T,2016
Sexy Boy, Jul 23, Charles Town R (euthanized Aug 20),2016
Ruthless Love, Jul 23, Delaware S,2016
Whisky and Wine, Jul 23, Del Mar T,2016
Big Book, Jul 23, Del Mar T (euthanized Jul 25),2016
Dutchessa, Jul 23, Del Mar R,2016
Snare, Jul 23, Ellis R,2016
I'm Venezuelan, Jul 23, Gulfstream R,2016
Born to Serve, Jul 23, Sacramento R,2016
Zamjara, Jul 23, Saratoga R,2016
Rootformejustin, Jul 23, Saratoga R,2016
The Judge Chuckles, Jul 23, Tampa Bay R,2016
Fasnacloich, Jul 24, Del Mar R,2016
Rita's Resort, Jul 24, North Dakota R,2016
Starles, Jul 27, Delaware T,2016
Badrock Canyon, Jul 27, Emerald T,2016
unidentified, Jul 27, Indiana T,2016
Shakespeare's Girl, Jul 27, Mountaineer R (euthanized Jul 28),2016
Indian Nobility, Jul 27, Saratoga R,2016
Margie's Gold Coin, Jul 28, Louisiana R,2016
Abeachindynasty, Jul 29, Arapahoe R,2016
King Windsor, Jul 29, Charles Town R (euthanized Aug 5),2016
Merry Moon, Jul 29, Los Alamitos R,2016
Infosec, Jul 29, Santa Rosa R,2016
Princess Sela, Jul 29, Thistledown R,2016
Mon Verset, Jul 30, Evangeline R,2016
Awesome Group, Jul 30, Mountaineer R,2016
Tiz a Lucky One, Jul 30, Santa Rosa R,2016
Taylear, Jul 30, Santa Rosa R,2016
Whistle Included, Jul 31, Mountaineer R (euthanized Oct 21),2016
Domestic Warrior, Aug 1, Saratoga R,2016
Busy Busy Busy, Aug 2, Parx R,2016
Greatwhite Buffalo, Aug 2, Presque Isle R,2016
Lebowski, Aug 2, Saratoga S,2016
Jesse's Story, Aug 2, Yonkers R,2016
Iwannabejustlikeu, Aug 3, Batavia R (euthanized Aug 20),2016
Jonrah, Aug 3, Saratoga T,2016
Believe in Kitten, Aug 4, Belterra R,2016
Midnight Visitor, Aug 4, Saratoga R (euthanized Aug 5),2016
Bad Asset, Aug 5, Belterra R,2016
Lew's Legacy, Aug 5, Charles Town R,2016
Charlies Gun, Aug 5, Hazel R,2016
Wheels Up Now, Aug 5, Saratoga T,2016
Recepta, Aug 5, Saratoga T (euthanized Nov),2016
Bonita Bully, Aug 6, Albuquerque R,2016
El Tio Piano, Aug 6, Delaware R,2016
Beavis, Aug 6, Monmouth S,2016
Store of Value, Aug 6, Monmouth T,2016
C.C. Water Back, Aug 6, Mountaineer S,2016
Overspent, Aug 6, Retama T (euthanized Aug 11),2016
Fancy Zoomin, Aug 6, Retama R,2016
Charlie Renee, Aug 6, Thistledown T (euthanized Aug 11),2016
Handsome N Dashin, Aug 7, Albuquerque R,2016
Get Your Greek On, Aug 7, Columbus R,2016
Isutalkintome, Aug 7, Presque Isle R,2016
Burst of Fire, Aug 7, Presque Isle R,2016
McCann's Half Full, Aug 7, Santa Rosa T,2016
unidentified, Aug 8, Indiana S,2016
Uno Pecador, Aug 11, Arlington R,2016
Summer Scorcher, Aug 11, Del Mar R,2016
Hadfunlastnight, Aug 12, Del Mar R,2016
Heather Belle, Aug 12, Hazel R,2016
Kernel Slanders, Aug 12, Penn R,2016
A.P. Pass, Aug 12, Remington T,2016
Miss Special Regard, Aug 12, Santa Rosa R,2016
Highly Confident, Aug 13, Albuquerque R,2016
Mansion House, Aug 13, Gulfstream R,2016
Kr Crusin Cartel, Aug 13, Los Alamitos R,2016
Foxie Gotham, Aug 13, Santa Rosa T,2016
Jicote, Aug 14, Arlington R (euthanized Aug 24),2016
Quick Navigator, Aug 14, Emerald R,2016
Shining Cartel, Aug 14, Gillespie R,2016
The Lefty, Aug 14, Gillespie R,2016
I.E. Flash, Aug 14, Laurel R,2016
Unusualy, Aug 15, Del Mar T,2016
Victorious Lover, Aug 15, Finger Lakes T,2016
Mango Tart, Aug 15, Mountaineer S,2016
Phone Call, Aug 15, Remington T,2016
Comprehend Mystery, Aug 16, Charles Town S,2016
Awesome Vacation, Aug 17, Delaware T,2016
unidentified, Aug 18, Indiana T,2016
Carlita Shake, Aug 19, Evangeline R,2016
He's Rockin, Aug 19, Hazel T,2016
unidentified, Aug 19, Indiana S,2016
Horatio Jetta, Aug 19, Louisiana R,2016
Tighten Up, Aug 19, Yonkers R,2016
Alicanto, Aug 20, Del Mar T,2016
Prince Corredor, Aug 20, Saratoga T,2016
One Seven One, Aug 20, White Pine R,2016
All the Marbles, Aug 21, Del Mar T,2016
Git On Bob, Aug 22, Finger Lakes R,2016
unidentified, Aug 24, Arlington S,2016
Elusive Neko, Aug 24, Saratoga T,2016
Logans Mystery Man, Aug 25, Fair Grounds R,2016
Hez Royal William, Aug 25, Fair Grounds R,2016
Conrad, Aug 25, Indiana R,2016
Bob Le Beau, Aug 25, Saratoga R,2016
Ring of Truth, Aug 25, Saratoga R,2016
Warriors Roar, Aug 26, Belterra R,2016
Bay Apache, Aug 26, Mountaineer S,2016
Daniel Did It, Aug 26, Timonium R,2016
Bustin to Win, Aug 26, Timonium R,2016
